ResponseId,LanguageHaveWorkedWith,DevType,skill_list,community_id
203,Bash/Shell;C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,"Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist","['Bash/Shell', 'C', 'C++', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",35
204,Bash/Shell;Python;SQL,"Engineer, data","['Bash/Shell', 'Python', 'SQL']",102
205,Bash/Shell;C++;Java;Python,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","['Bash/Shell', 'C++', 'Java', 'Python']",35
206,C#;JavaScript;PowerShell,"Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'JavaScript', 'PowerShell']",64
207,Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;Swift,"Developer, full-stack;Engineering manager","['Bash/Shell', 'C', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'Objective-C', 'Swift']",35
208,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'SQL', 'TypeScript']",64
209,C;C++;PHP;Ruby,"Developer, back-end","['C', 'C++', 'PHP', 'Ruby']",35
210,APL;C#;Java;JavaScript;Python;SQL;TypeScript,Product manager,"['APL', 'C#', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']",64
211,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']",64
212,Java,"Developer, back-end;Developer, desktop or enterprise applications",['Java'],34
213,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Student","['Bash/Shell', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']",102
214,C;C++;Perl;SQL,"Developer, back-end;Scientist;System administrator","['C', 'C++', 'Perl', 'SQL']",35
215,C;JavaScript;Python;SQL;TypeScript,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Scientist","['C', 'JavaScript', 'Python', 'SQL', 'TypeScript']",113
216,C#;HTML/CSS;JavaScript;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",64
219,C#;Groovy;PowerShell;SQL,"Engineer, site reliability;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional","['C#', 'Groovy', 'PowerShell', 'SQL']",64
220,C;C#;C++;Erlang;Go;Java;JavaScript;Python;SQL;TypeScript,Other (please specify):,"['C', 'C#', 'C++', 'Erlang', 'Go', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']",35
221,Bash/Shell;JavaScript;SQL,Other (please specify):,"['Bash/Shell', 'JavaScript', 'SQL']",102
222,Erlang;Go;Java;JavaScript;Python;SQL,"Developer, back-end","['Erlang', 'Go', 'Java', 'JavaScript', 'Python', 'SQL']",102
223,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, back-end;Security professional","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']",64
224,JavaScript,"Developer, full-stack;Engineering manager",['JavaScript'],37
225,Bash/Shell;C;C++;Groovy;HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['Bash/Shell', 'C', 'C++', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Python']",35
226,C#;SQL,"Developer, full-stack","['C#', 'SQL']",38
227,C#;PowerShell;SQL,Project manager;Marketing or sales professional,"['C#', 'PowerShell', 'SQL']",64
229,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;Database administrator;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL']",64
230,Go,"Developer, back-end;Cloud infrastructure engineer",['Go'],39
232,Bash/Shell;C;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,"Developer, back-end;Student","['Bash/Shell', 'C', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'SQL', 'TypeScript']",102
233,Python;Scala;SQL,"Engineer, data","['Python', 'Scala', 'SQL']",102
234,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']",64
235,Bash/Shell;Go,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go']",41
236,C;HTML/CSS;Python;SQL,Engineering manager,"['C', 'HTML/CSS', 'Python', 'SQL']",35
237,C#;Dart;JavaScript,"Developer, back-end","['C#', 'Dart', 'JavaScript']",64
238,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Scala;SQL,Engineering manager,"['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Scala', 'SQL']",102
239,Delphi,"Developer, desktop or enterprise applications",['Delphi'],42
240,Bash/Shell;Go;HTML/CSS;Python;SQL,"Developer, back-end;Project manager;Product manager;System administrator;Security professional","['Bash/Shell', 'Go', 'HTML/CSS', 'Python', 'SQL']",102
241,HTML/CSS;Python;Ruby;SQL;VBA,Data or business analyst,"['HTML/CSS', 'Python', 'Ruby', 'SQL', 'VBA']",102
242,HTML/CSS;JavaScript;PHP;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Database administrator;Data or business analyst","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",113
243,C#;HTML/CSS;Java;JavaScript,System administrator,"['C#', 'HTML/CSS', 'Java', 'JavaScript']",64
244,Bash/Shell;C;Java;Python,"Developer, embedded applications or devices;Data or business analyst","['Bash/Shell', 'C', 'Java', 'Python']",35
245,C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'VBA']",64
246,HTML/CSS;JavaScript;MATLAB;Python;R;Rust;SQL,Data scientist or machine learning specialist;Academic researcher,"['HTML/CSS', 'JavaScript', 'MATLAB', 'Python', 'R', 'Rust', 'SQL']",113
247,Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['Go', 'HTML/CSS', 'JavaScript', 'Kotlin', 'PHP', 'Python', 'SQL']",113
248,C#;C++;HTML/CSS;JavaScript;SQL;Swift;TypeScript,"Senior Executive (C-Suite, VP, etc.)","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'SQL', 'Swift', 'TypeScript']",64
249,Bash/Shell;C;Java;JavaScript,Marketing or sales professional,"['Bash/Shell', 'C', 'Java', 'JavaScript']",35
250,Python,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Blockchain",['Python'],44
251,C++;HTML/CSS;JavaScript;PHP;Python,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, game or graphics;Designer","['C++', 'HTML/CSS', 'JavaScript', 'PHP', 'Python']",113
252,C++;HTML/CSS;Python;Rust;SQL,"Developer, back-end;Developer, desktop or enterprise applications;Project manager","['C++', 'HTML/CSS', 'Python', 'Rust', 'SQL']",35
253,C#,"Developer, front-end;Student;Developer, game or graphics;Project manager;Designer",['C#'],45
254,C#;HTML/CSS;Java;JavaScript;TypeScript,"Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Designer","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']",64
255,Bash/Shell;Go;Groovy;Java;Python;Ruby,DevOps specialist,"['Bash/Shell', 'Go', 'Groovy', 'Java', 'Python', 'Ruby']",102
256,Assembly;C;C++,"Engineering manager;Developer, embedded applications or devices","['Assembly', 'C', 'C++']",35
257,Bash/Shell;Go;JavaScript;Python,"Developer, back-end","['Bash/Shell', 'Go', 'JavaScript', 'Python']",102
258,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'C', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'PHP', 'PowerShell', 'Python', 'SQL', 'TypeScript']",64
259,C;Haskell;JavaScript;Python;Rust;SQL,"Developer, back-end","['C', 'Haskell', 'JavaScript', 'Python', 'Rust', 'SQL']",35
260,Clojure;Python;Ruby;Scala,Engineering manager,"['Clojure', 'Python', 'Ruby', 'Scala']",102
261,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'TypeScript']",64
262,C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'VBA']",64
263,Assembly;Bash/Shell;Lua;Python;Rust,Other (please specify):,"['Assembly', 'Bash/Shell', 'Lua', 'Python', 'Rust']",35
264,C;C++;Python;Rust;SQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices","['C', 'C++', 'Python', 'Rust', 'SQL']",35
265,Bash/Shell;Java;Python;Scala;SQL,"Engineer, data","['Bash/Shell', 'Java', 'Python', 'Scala', 'SQL']",102
266,Bash/Shell;Groovy;Java;JavaScript;PHP;Python;Rust;SQL,"Developer, back-end","['Bash/Shell', 'Groovy', 'Java', 'JavaScript', 'PHP', 'Python', 'Rust', 'SQL']",102
267,C;C#;C++;Go;Python;Rust,"Developer, back-end","['C', 'C#', 'C++', 'Go', 'Python', 'Rust']",35
268,Bash/Shell;JavaScript;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, QA or test;Cloud infrastructure engineer","['Bash/Shell', 'JavaScript', 'Python', 'SQL', 'TypeScript']",102
269,HTML/CSS;JavaScript;Python,"Developer, front-end;Academic researcher;Designer","['HTML/CSS', 'JavaScript', 'Python']",102
270,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL', 'TypeScript']",64
271,C;C++;HTML/CSS;Java;JavaScript;Python,"Student;Developer, embedded applications or devices","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Python']",35
272,Bash/Shell;Go;HTML/CSS;JavaScript,"Developer, back-end;Developer, desktop or enterprise applications","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript']",102
273,C#;Dart;Go;Java;Kotlin;Python;Rust;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C#', 'Dart', 'Go', 'Java', 'Kotlin', 'Python', 'Rust', 'SQL', 'TypeScript']",102
274,Bash/Shell;C;C#;C++;Java;PowerShell,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Educator;Other (please specify):","['Bash/Shell', 'C', 'C#', 'C++', 'Java', 'PowerShell']",35
275,Bash/Shell;Delphi;HTML/CSS;PowerShell;Python;Ruby;SQL;TypeScript,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'Delphi', 'HTML/CSS', 'PowerShell', 'Python', 'Ruby', 'SQL', 'TypeScript']",102
276,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",64
277,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, back-end","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",102
278,Bash/Shell;HTML/CSS;JavaScript;Python;R;SQL,"Engineer, data;Developer, full-stack;Developer, back-end;DevOps specialist;Data or business analyst","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'R', 'SQL']",102
279,C#;JavaScript;Python,"Developer, front-end;Developer, full-stack","['C#', 'JavaScript', 'Python']",64
280,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']",64
281,Bash/Shell;C++;Java;Python,"Developer, back-end","['Bash/Shell', 'C++', 'Java', 'Python']",35
282,C#;Go;Rust;TypeScript,"Developer, full-stack;Developer, mobile","['C#', 'Go', 'Rust', 'TypeScript']",35
283,Assembly;C++;Python;Rust,"Developer, embedded applications or devices","['Assembly', 'C++', 'Python', 'Rust']",35
284,Ruby,Project manager,['Ruby'],54
285,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript;VBA,"Developer, mobile;Database administrator;Project manager;Product manager","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'SQL', 'TypeScript', 'VBA']",64
286,C#;JavaScript;PowerShell;SQL,Security professional,"['C#', 'JavaScript', 'PowerShell', 'SQL']",64
287,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL', 'TypeScript']",102
288,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'SQL', 'TypeScript']",113
289,C;JavaScript;Python;Scala,"Data scientist or machine learning specialist;Developer, back-end","['C', 'JavaScript', 'Python', 'Scala']",35
290,Assembly;Bash/Shell;C++;F#;JavaScript;Lua;Rust,"Developer, desktop or enterprise applications","['Assembly', 'Bash/Shell', 'C++', 'F#', 'JavaScript', 'Lua', 'Rust']",35
291,C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,"Developer, full-stack","['C#', 'Dart', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'TypeScript']",64
292,C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack","['C++', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']",113
293,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,"Developer, full-stack","['Bash/Shell', 'C#', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'SQL']",102
294,Bash/Shell;C#;C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;Database administrator","['Bash/Shell', 'C#', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']",64
295,HTML/CSS;JavaScript;Python;SQL,Data scientist or machine learning specialist;Data or business analyst,"['HTML/CSS', 'JavaScript', 'Python', 'SQL']",113
296,Bash/Shell;Elixir;Go;Java;JavaScript;PHP;Rust;SQL,Educator,"['Bash/Shell', 'Elixir', 'Go', 'Java', 'JavaScript', 'PHP', 'Rust', 'SQL']",102
297,Bash/Shell;Python,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end","['Bash/Shell', 'Python']",57
298,Bash/Shell;Go;HTML/CSS;JavaScript;SQL,"Developer, back-end","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'SQL']",113
299,C;C++,"Developer, back-end","['C', 'C++']",60
300,C#;C++;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;Ruby;SAS;SQL;TypeScript;VBA,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PowerShell', 'Python', 'Ruby', 'SAS', 'SQL', 'TypeScript', 'VBA']",64
301,JavaScript;Python,"Developer, full-stack","['JavaScript', 'Python']",61
302,Dart,"Developer, front-end;Developer, mobile",['Dart'],62
303,HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'Python', 'TypeScript']",113
304,Clojure;Python;Rust;Scala,"Developer, back-end;Engineering manager;Project manager;Data or business analyst","['Clojure', 'Python', 'Rust', 'Scala']",35
305,HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL']",113
306,C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']",64
308,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PowerShell;Python,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'Go', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python']",64
309,Go;Python;SQL,"Developer, back-end","['Go', 'Python', 'SQL']",102
310,C#;HTML/CSS;JavaScript;Python,"Developer, back-end;Student","['C#', 'HTML/CSS', 'JavaScript', 'Python']",64
311,Python;Rust,"Developer, back-end;Student","['Python', 'Rust']",66
312,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;VBA,"Developer, full-stack;Project manager","['C#', 'HTML/CSS', 'JavaScript', 'Lua', 'PowerShell', 'SQL', 'VBA']",64
313,HTML/CSS;JavaScript;PHP;TypeScript,"Developer, front-end","['HTML/CSS', 'JavaScript', 'PHP', 'TypeScript']",113
314,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']",64
316,Bash/Shell;Go;Python,"Engineer, data;Developer, back-end","['Bash/Shell', 'Go', 'Python']",35
317,HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,"Developer, back-end;Engineering manager;Cloud infrastructure engineer","['HTML/CSS', 'JavaScript', 'Python', 'Scala', 'SQL', 'TypeScript']",113
318,Bash/Shell;C#;PowerShell;SQL,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","['Bash/Shell', 'C#', 'PowerShell', 'SQL']",64
319,Dart;Kotlin;Python;Ruby;Swift;TypeScript,"Developer, mobile","['Dart', 'Kotlin', 'Python', 'Ruby', 'Swift', 'TypeScript']",102
320,Rust;VBA,Engineering manager,"['Rust', 'VBA']",68
321,Python;Swift,Product manager,"['Python', 'Swift']",69
322,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Rust;SQL,"Developer, full-stack;Developer, back-end","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Rust', 'SQL']",64
323,Bash/Shell;Erlang;Go;Groovy;Java;JavaScript;Lua;Python;Ruby,"Engineer, site reliability;Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Erlang', 'Go', 'Groovy', 'Java', 'JavaScript', 'Lua', 'Python', 'Ruby']",102
324,Bash/Shell;Clojure;Java;SQL,"Developer, back-end;Developer, QA or test","['Bash/Shell', 'Clojure', 'Java', 'SQL']",102
325,Bash/Shell;C;C++;Java;JavaScript;LISP;Objective-C;Python,"Developer, embedded applications or devices","['Bash/Shell', 'C', 'C++', 'Java', 'JavaScript', 'LISP', 'Objective-C', 'Python']",35
326,C;C#;C++;Crystal;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['C', 'C#', 'C++', 'Crystal', 'Dart', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Objective-C', 'Python', 'TypeScript']",35
327,C#;C++;Python;Rust,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Designer","['C#', 'C++', 'Python', 'Rust']",35
328,Bash/Shell;Elixir;Python;Ruby;Rust,"Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Cloud infrastructure engineer","['Bash/Shell', 'Elixir', 'Python', 'Ruby', 'Rust']",35
329,C++;Java;JavaScript;SQL,"Developer, mobile","['C++', 'Java', 'JavaScript', 'SQL']",35
330,Bash/Shell;C#;C++;Fortran;LISP;MATLAB;PowerShell;Python;Rust,Student;Academic researcher;Scientist,"['Bash/Shell', 'C#', 'C++', 'Fortran', 'LISP', 'MATLAB', 'PowerShell', 'Python', 'Rust']",35
331,C;C#;C++;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, front-end;Developer, full-stack","['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Rust', 'TypeScript']",35
332,Bash/Shell;C#;PowerShell;Python,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'PowerShell', 'Python']",64
334,Assembly;Bash/Shell;C;C++;Python;SQL,"Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'C++', 'Python', 'SQL']",35
335,C;Python,"Engineering manager;Developer, embedded applications or devices","['C', 'Python']",73
336,Perl;SQL,"Developer, back-end","['Perl', 'SQL']",74
337,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;SQL,Data scientist or machine learning specialist;Academic researcher,"['Bash/Shell', 'C', 'C++', 'HTML/CSS', 'JavaScript', 'Python', 'SQL']",35
338,C++;JavaScript;Python;Rust;TypeScript,"Developer, desktop or enterprise applications","['C++', 'JavaScript', 'Python', 'Rust', 'TypeScript']",35
339,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL']",113
340,C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack;Student","['C#', 'Dart', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL', 'TypeScript']",64
341,C#;HTML/CSS;SQL;VBA,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'SQL', 'VBA']",64
342,Delphi;HTML/CSS;JavaScript;PHP,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager","['Delphi', 'HTML/CSS', 'JavaScript', 'PHP']",113
343,Bash/Shell;HTML/CSS;JavaScript;PHP;Rust;SQL,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Rust', 'SQL']",113
344,Bash/Shell;Go;Python,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'Python']",35
345,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,"Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Ruby', 'SQL', 'TypeScript']",102
346,Bash/Shell;Java;PowerShell;SQL;VBA,Database administrator;System administrator,"['Bash/Shell', 'Java', 'PowerShell', 'SQL', 'VBA']",102
347,Bash/Shell;C#;Dart;Go;HTML/CSS;Java;JavaScript;Rust;TypeScript,"Engineer, data;Developer, full-stack","['Bash/Shell', 'C#', 'Dart', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Rust', 'TypeScript']",64
348,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Product manager","['Bash/Shell', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']",102
349,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,"Developer, full-stack;Developer, mobile;Educator","['HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'TypeScript']",113
350,Bash/Shell;Perl;SQL,"Developer, back-end","['Bash/Shell', 'Perl', 'SQL']",35
352,Bash/Shell;C++;Go;Python,"Developer, desktop or enterprise applications","['Bash/Shell', 'C++', 'Go', 'Python']",35
353,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']",82
354,Bash/Shell;JavaScript;Rust;TypeScript,"Developer, full-stack","['Bash/Shell', 'JavaScript', 'Rust', 'TypeScript']",35
355,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']",64
357,Kotlin,"Developer, mobile",['Kotlin'],85
358,Bash/Shell;Java;JavaScript;PHP;SQL,"Engineer, data;Developer, desktop or enterprise applications;Engineering manager","['Bash/Shell', 'Java', 'JavaScript', 'PHP', 'SQL']",102
359,C#;Dart;Go;JavaScript;Swift;TypeScript,"Developer, mobile","['C#', 'Dart', 'Go', 'JavaScript', 'Swift', 'TypeScript']",64
360,Assembly;Bash/Shell;C;MATLAB;Python,"Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'MATLAB', 'Python']",35
361,C;C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Rust;SQL;TypeScript,"Engineer, site reliability;Developer, full-stack;Cloud infrastructure engineer","['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Kotlin', 'Lua', 'PowerShell', 'Rust', 'SQL', 'TypeScript']",64
362,Bash/Shell;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL,"Developer, full-stack","['Bash/Shell', 'C++', 'Dart', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Rust', 'SQL']",35
363,Bash/Shell;C;Go;Rust;SQL;TypeScript,"Developer, back-end;Developer, embedded applications or devices","['Bash/Shell', 'C', 'Go', 'Rust', 'SQL', 'TypeScript']",35
364,C#;Java;JavaScript;Lua;PowerShell;Python;SQL,"Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator","['C#', 'Java', 'JavaScript', 'Lua', 'PowerShell', 'Python', 'SQL']",64
365,C#;Java,"Developer, desktop or enterprise applications","['C#', 'Java']",86
366,C#;Elixir;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Educator;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Designer;Product manager;System administrator","['C#', 'Elixir', 'PowerShell', 'SQL', 'TypeScript']",64
367,Java;Python;SQL,"Engineer, data;Developer, back-end;Educator;Academic researcher;Data or business analyst","['Java', 'Python', 'SQL']",102
368,Go;MATLAB;Python;Rust,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst","['Go', 'MATLAB', 'Python', 'Rust']",35
369,Bash/Shell;C;C#;C++;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist","['Bash/Shell', 'C', 'C#', 'C++', 'F#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL', 'TypeScript']",64
371,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']",113
372,Go;Rust,"Developer, back-end;Designer","['Go', 'Rust']",87
373,Python;Rust,"Engineer, data;Developer, back-end","['Python', 'Rust']",88
374,C#;Java;Kotlin;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C#', 'Java', 'Kotlin', 'SQL', 'TypeScript']",64
375,JavaScript;SQL,"Developer, full-stack;Developer, back-end","['JavaScript', 'SQL']",89
376,Go;Python,"Developer, QA or test","['Go', 'Python']",91
377,Bash/Shell;C;C++,"Developer, back-end;Developer, desktop or enterprise applications;Student","['Bash/Shell', 'C', 'C++']",35
