ResponseId,LanguageHaveWorkedWith,DevType,skill_list
206,C#;JavaScript;PowerShell,"Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'JavaScript', 'PowerShell']"
207,Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;Swift,"Developer, full-stack;Engineering manager","['Bash/Shell', 'C', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'Objective-C', 'Swift']"
208,C#;HTML/CSS;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'SQL', 'TypeScript']"
209,C;C++;PHP;Ruby,"Developer, back-end","['C', 'C++', 'PHP', 'Ruby']"
210,APL;C#;Java;JavaScript;Python;SQL;TypeScript,Product manager,"['APL', 'C#', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
211,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']"
212,Java,"Developer, back-end;Developer, desktop or enterprise applications",['Java']
213,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Student","['Bash/Shell', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']"
214,C;C++;Perl;SQL,"Developer, back-end;Scientist;System administrator","['C', 'C++', 'Perl', 'SQL']"
215,C;JavaScript;Python;SQL;TypeScript,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Scientist","['C', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
216,C#;HTML/CSS;JavaScript;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'SQL']"
219,C#;Groovy;PowerShell;SQL,"Engineer, site reliability;Developer, back-end;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;System administrator;Security professional","['C#', 'Groovy', 'PowerShell', 'SQL']"
220,C;C#;C++;Erlang;Go;Java;JavaScript;Python;SQL;TypeScript,Other (please specify):,"['C', 'C#', 'C++', 'Erlang', 'Go', 'Java', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
221,Bash/Shell;JavaScript;SQL,Other (please specify):,"['Bash/Shell', 'JavaScript', 'SQL']"
222,Erlang;Go;Java;JavaScript;Python;SQL,"Developer, back-end","['Erlang', 'Go', 'Java', 'JavaScript', 'Python', 'SQL']"
223,C#;C++;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, back-end;Security professional","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']"
224,JavaScript,"Developer, full-stack;Engineering manager",['JavaScript']
225,Bash/Shell;C;C++;Groovy;HTML/CSS;Java;JavaScript;Python,"Developer, back-end","['Bash/Shell', 'C', 'C++', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Python']"
226,C#;SQL,"Developer, full-stack","['C#', 'SQL']"
227,C#;PowerShell;SQL,Project manager;Marketing or sales professional,"['C#', 'PowerShell', 'SQL']"
229,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;Database administrator;DevOps specialist","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL']"
230,Go,"Developer, back-end;Cloud infrastructure engineer",['Go']
232,Bash/Shell;C;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,"Developer, back-end;Student","['Bash/Shell', 'C', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'SQL', 'TypeScript']"
233,Python;Scala;SQL,"Engineer, data","['Python', 'Scala', 'SQL']"
234,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']"
235,Bash/Shell;Go,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go']"
236,C;HTML/CSS;Python;SQL,Engineering manager,"['C', 'HTML/CSS', 'Python', 'SQL']"
237,C#;Dart;JavaScript,"Developer, back-end","['C#', 'Dart', 'JavaScript']"
238,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Scala;SQL,Engineering manager,"['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Scala', 'SQL']"
239,Delphi,"Developer, desktop or enterprise applications",['Delphi']
240,Bash/Shell;Go;HTML/CSS;Python;SQL,"Developer, back-end;Project manager;Product manager;System administrator;Security professional","['Bash/Shell', 'Go', 'HTML/CSS', 'Python', 'SQL']"
241,HTML/CSS;Python;Ruby;SQL;VBA,Data or business analyst,"['HTML/CSS', 'Python', 'Ruby', 'SQL', 'VBA']"
242,HTML/CSS;JavaScript;PHP;Python;SQL,"Data scientist or machine learning specialist;Engineer, data;Database administrator;Data or business analyst","['HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
243,C#;HTML/CSS;Java;JavaScript,System administrator,"['C#', 'HTML/CSS', 'Java', 'JavaScript']"
244,Bash/Shell;C;Java;Python,"Developer, embedded applications or devices;Data or business analyst","['Bash/Shell', 'C', 'Java', 'Python']"
245,C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'VBA']"
246,HTML/CSS;JavaScript;MATLAB;Python;R;Rust;SQL,Data scientist or machine learning specialist;Academic researcher,"['HTML/CSS', 'JavaScript', 'MATLAB', 'Python', 'R', 'Rust', 'SQL']"
247,Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['Go', 'HTML/CSS', 'JavaScript', 'Kotlin', 'PHP', 'Python', 'SQL']"
248,C#;C++;HTML/CSS;JavaScript;SQL;Swift;TypeScript,"Senior Executive (C-Suite, VP, etc.)","['C#', 'C++', 'HTML/CSS', 'JavaScript', 'SQL', 'Swift', 'TypeScript']"
249,Bash/Shell;C;Java;JavaScript,Marketing or sales professional,"['Bash/Shell', 'C', 'Java', 'JavaScript']"
250,Python,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Blockchain",['Python']
251,C++;HTML/CSS;JavaScript;PHP;Python,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, game or graphics;Designer","['C++', 'HTML/CSS', 'JavaScript', 'PHP', 'Python']"
252,C++;HTML/CSS;Python;Rust;SQL,"Developer, back-end;Developer, desktop or enterprise applications;Project manager","['C++', 'HTML/CSS', 'Python', 'Rust', 'SQL']"
253,C#,"Developer, front-end;Student;Developer, game or graphics;Project manager;Designer",['C#']
254,C#;HTML/CSS;Java;JavaScript;TypeScript,"Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Designer","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'TypeScript']"
255,Bash/Shell;Go;Groovy;Java;Python;Ruby,DevOps specialist,"['Bash/Shell', 'Go', 'Groovy', 'Java', 'Python', 'Ruby']"
256,Assembly;C;C++,"Engineering manager;Developer, embedded applications or devices","['Assembly', 'C', 'C++']"
257,Bash/Shell;Go;JavaScript;Python,"Developer, back-end","['Bash/Shell', 'Go', 'JavaScript', 'Python']"
258,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;PowerShell;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end","['Bash/Shell', 'C', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'PHP', 'PowerShell', 'Python', 'SQL', 'TypeScript']"
259,C;Haskell;JavaScript;Python;Rust;SQL,"Developer, back-end","['C', 'Haskell', 'JavaScript', 'Python', 'Rust', 'SQL']"
260,Clojure;Python;Ruby;Scala,Engineering manager,"['Clojure', 'Python', 'Ruby', 'Scala']"
261,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","['C#', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'TypeScript']"
262,C#;HTML/CSS;JavaScript;SQL;VBA,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'SQL', 'VBA']"
263,Assembly;Bash/Shell;Lua;Python;Rust,Other (please specify):,"['Assembly', 'Bash/Shell', 'Lua', 'Python', 'Rust']"
264,C;C++;Python;Rust;SQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices","['C', 'C++', 'Python', 'Rust', 'SQL']"
265,Bash/Shell;Java;Python;Scala;SQL,"Engineer, data","['Bash/Shell', 'Java', 'Python', 'Scala', 'SQL']"
266,Bash/Shell;Groovy;Java;JavaScript;PHP;Python;Rust;SQL,"Developer, back-end","['Bash/Shell', 'Groovy', 'Java', 'JavaScript', 'PHP', 'Python', 'Rust', 'SQL']"
267,C;C#;C++;Go;Python;Rust,"Developer, back-end","['C', 'C#', 'C++', 'Go', 'Python', 'Rust']"
268,Bash/Shell;JavaScript;Python;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, QA or test;Cloud infrastructure engineer","['Bash/Shell', 'JavaScript', 'Python', 'SQL', 'TypeScript']"
269,HTML/CSS;JavaScript;Python,"Developer, front-end;Academic researcher;Designer","['HTML/CSS', 'JavaScript', 'Python']"
270,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL', 'TypeScript']"
271,C;C++;HTML/CSS;Java;JavaScript;Python,"Student;Developer, embedded applications or devices","['C', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Python']"
272,Bash/Shell;Go;HTML/CSS;JavaScript,"Developer, back-end;Developer, desktop or enterprise applications","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript']"
273,C#;Dart;Go;Java;Kotlin;Python;Rust;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C#', 'Dart', 'Go', 'Java', 'Kotlin', 'Python', 'Rust', 'SQL', 'TypeScript']"
274,Bash/Shell;C;C#;C++;Java;PowerShell,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Educator;Other (please specify):","['Bash/Shell', 'C', 'C#', 'C++', 'Java', 'PowerShell']"
275,Bash/Shell;Delphi;HTML/CSS;PowerShell;Python;Ruby;SQL;TypeScript,"Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'Delphi', 'HTML/CSS', 'PowerShell', 'Python', 'Ruby', 'SQL', 'TypeScript']"
276,C#;HTML/CSS;JavaScript;SQL,"Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'HTML/CSS', 'JavaScript', 'SQL']"
277,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, back-end","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
278,Bash/Shell;HTML/CSS;JavaScript;Python;R;SQL,"Engineer, data;Developer, full-stack;Developer, back-end;DevOps specialist;Data or business analyst","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'R', 'SQL']"
279,C#;JavaScript;Python,"Developer, front-end;Developer, full-stack","['C#', 'JavaScript', 'Python']"
280,C#;HTML/CSS;JavaScript;TypeScript,"Developer, front-end","['C#', 'HTML/CSS', 'JavaScript', 'TypeScript']"
281,Bash/Shell;C++;Java;Python,"Developer, back-end","['Bash/Shell', 'C++', 'Java', 'Python']"
282,C#;Go;Rust;TypeScript,"Developer, full-stack;Developer, mobile","['C#', 'Go', 'Rust', 'TypeScript']"
283,Assembly;C++;Python;Rust,"Developer, embedded applications or devices","['Assembly', 'C++', 'Python', 'Rust']"
284,Ruby,Project manager,['Ruby']
285,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript;VBA,"Developer, mobile;Database administrator;Project manager;Product manager","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'PHP', 'SQL', 'TypeScript', 'VBA']"
286,C#;JavaScript;PowerShell;SQL,Security professional,"['C#', 'JavaScript', 'PowerShell', 'SQL']"
287,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'Python', 'Rust', 'SQL', 'TypeScript']"
288,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'SQL', 'TypeScript']"
289,C;JavaScript;Python;Scala,"Data scientist or machine learning specialist;Developer, back-end","['C', 'JavaScript', 'Python', 'Scala']"
290,Assembly;Bash/Shell;C++;F#;JavaScript;Lua;Rust,"Developer, desktop or enterprise applications","['Assembly', 'Bash/Shell', 'C++', 'F#', 'JavaScript', 'Lua', 'Rust']"
291,C#;Dart;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,"Developer, full-stack","['C#', 'Dart', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'TypeScript']"
292,C++;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Developer, front-end;Developer, full-stack","['C++', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'TypeScript']"
293,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,"Developer, full-stack","['Bash/Shell', 'C#', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'SQL']"
294,Bash/Shell;C#;C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Student;Database administrator","['Bash/Shell', 'C#', 'C++', 'Dart', 'HTML/CSS', 'Java', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']"
295,HTML/CSS;JavaScript;Python;SQL,Data scientist or machine learning specialist;Data or business analyst,"['HTML/CSS', 'JavaScript', 'Python', 'SQL']"
296,Bash/Shell;Elixir;Go;Java;JavaScript;PHP;Rust;SQL,Educator,"['Bash/Shell', 'Elixir', 'Go', 'Java', 'JavaScript', 'PHP', 'Rust', 'SQL']"
297,Bash/Shell;Python,"Data scientist or machine learning specialist;Engineer, data;Developer, back-end","['Bash/Shell', 'Python']"
298,Bash/Shell;Go;HTML/CSS;JavaScript;SQL,"Developer, back-end","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'SQL']"
299,C;C++,"Developer, back-end","['C', 'C++']"
300,C#;C++;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;Ruby;SAS;SQL;TypeScript;VBA,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Perl', 'PowerShell', 'Python', 'Ruby', 'SAS', 'SQL', 'TypeScript', 'VBA']"
301,JavaScript;Python,"Developer, full-stack","['JavaScript', 'Python']"
302,Dart,"Developer, front-end;Developer, mobile",['Dart']
303,HTML/CSS;JavaScript;Python;TypeScript,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'Python', 'TypeScript']"
304,Clojure;Python;Rust;Scala,"Developer, back-end;Engineering manager;Project manager;Data or business analyst","['Clojure', 'Python', 'Rust', 'Scala']"
305,HTML/CSS;JavaScript;PHP;Ruby;SQL,"Developer, full-stack","['HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL']"
306,C#;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end","['C#', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']"
308,Bash/Shell;C#;Go;HTML/CSS;JavaScript;PowerShell;Python,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'Go', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python']"
309,Go;Python;SQL,"Developer, back-end","['Go', 'Python', 'SQL']"
310,C#;HTML/CSS;JavaScript;Python,"Developer, back-end;Student","['C#', 'HTML/CSS', 'JavaScript', 'Python']"
311,Python;Rust,"Developer, back-end;Student","['Python', 'Rust']"
312,C#;HTML/CSS;JavaScript;Lua;PowerShell;SQL;VBA,"Developer, full-stack;Project manager","['C#', 'HTML/CSS', 'JavaScript', 'Lua', 'PowerShell', 'SQL', 'VBA']"
313,HTML/CSS;JavaScript;PHP;TypeScript,"Developer, front-end","['HTML/CSS', 'JavaScript', 'PHP', 'TypeScript']"
314,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, full-stack","['C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']"
316,Bash/Shell;Go;Python,"Engineer, data;Developer, back-end","['Bash/Shell', 'Go', 'Python']"
317,HTML/CSS;JavaScript;Python;Scala;SQL;TypeScript,"Developer, back-end;Engineering manager;Cloud infrastructure engineer","['HTML/CSS', 'JavaScript', 'Python', 'Scala', 'SQL', 'TypeScript']"
318,Bash/Shell;C#;PowerShell;SQL,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist","['Bash/Shell', 'C#', 'PowerShell', 'SQL']"
319,Dart;Kotlin;Python;Ruby;Swift;TypeScript,"Developer, mobile","['Dart', 'Kotlin', 'Python', 'Ruby', 'Swift', 'TypeScript']"
320,Rust;VBA,Engineering manager,"['Rust', 'VBA']"
321,Python;Swift,Product manager,"['Python', 'Swift']"
322,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Rust;SQL,"Developer, full-stack;Developer, back-end","['C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'MATLAB', 'Rust', 'SQL']"
323,Bash/Shell;Erlang;Go;Groovy;Java;JavaScript;Lua;Python;Ruby,"Engineer, site reliability;Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Erlang', 'Go', 'Groovy', 'Java', 'JavaScript', 'Lua', 'Python', 'Ruby']"
324,Bash/Shell;Clojure;Java;SQL,"Developer, back-end;Developer, QA or test","['Bash/Shell', 'Clojure', 'Java', 'SQL']"
325,Bash/Shell;C;C++;Java;JavaScript;LISP;Objective-C;Python,"Developer, embedded applications or devices","['Bash/Shell', 'C', 'C++', 'Java', 'JavaScript', 'LISP', 'Objective-C', 'Python']"
326,C;C#;C++;Crystal;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Python;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end","['C', 'C#', 'C++', 'Crystal', 'Dart', 'Go', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Objective-C', 'Python', 'TypeScript']"
327,C#;C++;Python;Rust,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Designer","['C#', 'C++', 'Python', 'Rust']"
328,Bash/Shell;Elixir;Python;Ruby;Rust,"Developer, back-end;Developer, QA or test;Developer, embedded applications or devices;Cloud infrastructure engineer","['Bash/Shell', 'Elixir', 'Python', 'Ruby', 'Rust']"
329,C++;Java;JavaScript;SQL,"Developer, mobile","['C++', 'Java', 'JavaScript', 'SQL']"
330,Bash/Shell;C#;C++;Fortran;LISP;MATLAB;PowerShell;Python;Rust,Student;Academic researcher;Scientist,"['Bash/Shell', 'C#', 'C++', 'Fortran', 'LISP', 'MATLAB', 'PowerShell', 'Python', 'Rust']"
331,C;C#;C++;HTML/CSS;JavaScript;Rust;TypeScript,"Developer, front-end;Developer, full-stack","['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Rust', 'TypeScript']"
332,Bash/Shell;C#;PowerShell;Python,"Engineer, site reliability;DevOps specialist;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'PowerShell', 'Python']"
334,Assembly;Bash/Shell;C;C++;Python;SQL,"Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'C++', 'Python', 'SQL']"
335,C;Python,"Engineering manager;Developer, embedded applications or devices","['C', 'Python']"
336,Perl;SQL,"Developer, back-end","['Perl', 'SQL']"
337,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;SQL,Data scientist or machine learning specialist;Academic researcher,"['Bash/Shell', 'C', 'C++', 'HTML/CSS', 'JavaScript', 'Python', 'SQL']"
338,C++;JavaScript;Python;Rust;TypeScript,"Developer, desktop or enterprise applications","['C++', 'JavaScript', 'Python', 'Rust', 'TypeScript']"
339,Bash/Shell;HTML/CSS;JavaScript;PHP;SQL,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'SQL']"
340,C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Developer, full-stack;Student","['C#', 'Dart', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL', 'TypeScript']"
341,C#;HTML/CSS;SQL;VBA,"Developer, full-stack;Developer, desktop or enterprise applications","['C#', 'HTML/CSS', 'SQL', 'VBA']"
342,Delphi;HTML/CSS;JavaScript;PHP,"Developer, full-stack;Developer, desktop or enterprise applications;Project manager","['Delphi', 'HTML/CSS', 'JavaScript', 'PHP']"
343,Bash/Shell;HTML/CSS;JavaScript;PHP;Rust;SQL,"Developer, full-stack","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Rust', 'SQL']"
344,Bash/Shell;Go;Python,"Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'Go', 'Python']"
345,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;TypeScript,"Developer, back-end","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Ruby', 'SQL', 'TypeScript']"
346,Bash/Shell;Java;PowerShell;SQL;VBA,Database administrator;System administrator,"['Bash/Shell', 'Java', 'PowerShell', 'SQL', 'VBA']"
347,Bash/Shell;C#;Dart;Go;HTML/CSS;Java;JavaScript;Rust;TypeScript,"Engineer, data;Developer, full-stack","['Bash/Shell', 'C#', 'Dart', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Rust', 'TypeScript']"
348,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Python;SQL,"Developer, full-stack;Product manager","['Bash/Shell', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'SQL']"
349,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,"Developer, full-stack;Developer, mobile;Educator","['HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Python', 'TypeScript']"
350,Bash/Shell;Perl;SQL,"Developer, back-end","['Bash/Shell', 'Perl', 'SQL']"
352,Bash/Shell;C++;Go;Python,"Developer, desktop or enterprise applications","['Bash/Shell', 'C++', 'Go', 'Python']"
353,JavaScript;TypeScript,"Developer, front-end","['JavaScript', 'TypeScript']"
354,Bash/Shell;JavaScript;Rust;TypeScript,"Developer, full-stack","['Bash/Shell', 'JavaScript', 'Rust', 'TypeScript']"
355,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript']"
357,Kotlin,"Developer, mobile",['Kotlin']
358,Bash/Shell;Java;JavaScript;PHP;SQL,"Engineer, data;Developer, desktop or enterprise applications;Engineering manager","['Bash/Shell', 'Java', 'JavaScript', 'PHP', 'SQL']"
359,C#;Dart;Go;JavaScript;Swift;TypeScript,"Developer, mobile","['C#', 'Dart', 'Go', 'JavaScript', 'Swift', 'TypeScript']"
360,Assembly;Bash/Shell;C;MATLAB;Python,"Developer, embedded applications or devices","['Assembly', 'Bash/Shell', 'C', 'MATLAB', 'Python']"
361,C;C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Rust;SQL;TypeScript,"Engineer, site reliability;Developer, full-stack;Cloud infrastructure engineer","['C', 'C#', 'C++', 'HTML/CSS', 'JavaScript', 'Kotlin', 'Lua', 'PowerShell', 'Rust', 'SQL', 'TypeScript']"
362,Bash/Shell;C++;Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL,"Developer, full-stack","['Bash/Shell', 'C++', 'Dart', 'Go', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Rust', 'SQL']"
363,Bash/Shell;C;Go;Rust;SQL;TypeScript,"Developer, back-end;Developer, embedded applications or devices","['Bash/Shell', 'C', 'Go', 'Rust', 'SQL', 'TypeScript']"
364,C#;Java;JavaScript;Lua;PowerShell;Python;SQL,"Developer, full-stack;DevOps specialist;Cloud infrastructure engineer;System administrator","['C#', 'Java', 'JavaScript', 'Lua', 'PowerShell', 'Python', 'SQL']"
365,C#;Java,"Developer, desktop or enterprise applications","['C#', 'Java']"
366,C#;Elixir;PowerShell;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Educator;Engineering manager;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Designer;Product manager;System administrator","['C#', 'Elixir', 'PowerShell', 'SQL', 'TypeScript']"
367,Java;Python;SQL,"Engineer, data;Developer, back-end;Educator;Academic researcher;Data or business analyst","['Java', 'Python', 'SQL']"
368,Go;MATLAB;Python;Rust,"Data scientist or machine learning specialist;Engineer, data;Data or business analyst","['Go', 'MATLAB', 'Python', 'Rust']"
369,Bash/Shell;C;C#;C++;F#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist","['Bash/Shell', 'C', 'C#', 'C++', 'F#', 'HTML/CSS', 'JavaScript', 'PowerShell', 'Python', 'SQL', 'TypeScript']"
371,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Python', 'SQL']"
372,Go;Rust,"Developer, back-end;Designer","['Go', 'Rust']"
373,Python;Rust,"Engineer, data;Developer, back-end","['Python', 'Rust']"
374,C#;Java;Kotlin;SQL;TypeScript,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications","['C#', 'Java', 'Kotlin', 'SQL', 'TypeScript']"
375,JavaScript;SQL,"Developer, full-stack;Developer, back-end","['JavaScript', 'SQL']"
376,Go;Python,"Developer, QA or test","['Go', 'Python']"
377,Bash/Shell;C;C++,"Developer, back-end;Developer, desktop or enterprise applications;Student","['Bash/Shell', 'C', 'C++']"
379,Go;JavaScript;PHP;Rust;SQL,"Developer, front-end;Developer, back-end;Database administrator;Cloud infrastructure engineer;System administrator;Security professional","['Go', 'JavaScript', 'PHP', 'Rust', 'SQL']"
380,HTML/CSS;Rust,"Developer, desktop or enterprise applications;Academic researcher","['HTML/CSS', 'Rust']"
381,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Student;DevOps specialist;Cloud infrastructure engineer;Designer","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'Lua', 'PowerShell', 'Python', 'SQL']"
382,APL;Assembly;Bash/Shell;HTML/CSS;JavaScript;SQL,"Developer, front-end;Engineer, data;Other (please specify):;Data or business analyst","['APL', 'Assembly', 'Bash/Shell', 'HTML/CSS', 'JavaScript', 'SQL']"
